pants_description,Avg_Discount
"Men Mid-Rise Skinny-Fit Jeans",2224.00
"Men Comfort Stretch Slim Jeans",2219.00
"Men Narrow Slim Fit Jeans",2216.50
"Men Mid-Rise Bootcut Jeans",2214.10
"Men Relaxed Fit No Fade Jeans",2199.00
"Mid-Wash Skinny Fit Jeans",2199.00
"Men's Stone Cargo",2199.00
"Lightly Washed Skinny Fit Jean",2199.00
"Men Ruiz Slim Fit Jeans",2199.00
"Tapered Light Fade Jeans",2199.00
"Cotton Light Fade Jeans",2188.00
"Men  Slim Fit Jeans",2184.00
"Wide Leg Cargo Styles Jeans",2183.00
"Men  Regular Fit Jeans",2173.00
"Men 513 Slim Fit Jeans",2167.20
"Men Bootcut Stretchable Jeans",2166.20
"High-Rise Cargo Style Jeans",2165.00
"Men Relaxed Straight Fit Jeans",2163.00
"Straight High-Rise Jeans",2159.00
"Men Straight Fit Rinsed Jeans",2159.00
"Men  65504 Skinny Fit Jeans",2159.00
"Men  High-Rise Cotton Jeans",2159.00
"Plus Size Men Jogger Jeans",2159.00
"Men Slim Fit  Cotton  Jeans",2159.00
"Light Fade Mid-Rise Jeans",2156.50
"Men Bob Straight Cotton Jeans",2155.00
"Stretchable Light Fade Jeans",2152.50
"Unisex Mid-Rise Cotton Jeans",2149.00
"Men Regular Fit High-Rise Jeans",2149.00
"Men Slim Fit Flyweight Jeans",2149.00
"Black Plain Baggy Fit Jeans",2149.00
"Men's Slim Mid Rise Jeans",2144.00
"Men Plus Size Low-Rise Jeans",2144.00
"Men Chinox Skinny Fit Jeans",2132.33
"Men Stretchable Cotton  Jeans",2119.00
"Men Chinos Trousers",2119.00
"Baggy Fit Stretchable Jeans",2119.00
"Purist Super Skinny Fit Jeans",2116.50
"Blue Heavy Fade Jeans",2114.00
"Blue Slim Fit Light Fade Jeans",2114.00
"Carpenter Fit Mid-Rise Jeans",2108.00
"Men Regular Fit Low-Rise Jeans",2107.08
"Men Slim Fit Coloured Jeans",2106.67
"Men Gymindigo Skinny Fit Jeans",2103.67
"Mid-Rise Slim Fit Je",2099.00
"Men's Casual Slim Fit Jeans",2099.00
"Men Slim Fit Dark Wash Jeans",2099.00
"Men Millard Relaxed Fit Jeans",2099.00
"Men Corduroy Straight Jeans",2099.00
"Borris Slim Tapered Fit Jeans",2099.00
"Men Bruce Stretchable Jeans",2099.00
"Men Tapered Fit  Cropped Jeans",2099.00
"Regular Fit  Mid-Rise Jeans",2099.00
"Men Buff Fit Jeans",2099.00
"Skinny Fit Classic Jeans",2099.00
"High-Rise Cotton Cargo Jeans",2099.00
"Men Slim Mid-Rise Jeans",2099.00
"Solid Slim Fit Mid-Rise Jeans",2099.00
"Slim Fit Heavy Fade  Jeans",2099.00
"Men Vintage Vibes Jeans",2099.00
"Bleed Zero Slim Fit Jeans",2097.00
"Skinny Fit Cotton Jeans",2097.00
"Men Tapered Slim Fit Jeans",2094.00
"Men Straight Fit Denim Jeans",2093.88
"Men Grey Slim Fit Jeans",2089.40
"Men Fade Stretchable Jeans",2089.00
"Men Stretchable Denim Jogger",2089.00
"Mid-Rise Bootcut Jeans",2085.40
"Men Straight Mid Rise Jeans",2084.00
"Men Slim Prince Fit Jeans",2079.00
"Beige Mid-Rise Baggy Jeans",2079.00
"Pure Cotton Loose Fit Jeans",2079.00
"Men Plain Baggy Fit Jeans",2079.00
"Scott Bruce Straight Fit Jeans",2079.00
"Heavy Fade Regular Fit Jeans",2074.50
"Plus Size Light Fade Jeans",2073.00
"Men Baggy Fit Cargos Jeans",2069.00
"Men Tapered Cropped Jeans",2069.00
"EasyFlex Athletic Jean Jeans",2069.00
"Men Wide Leg Low-Rise Jeans",2067.93
"Slash Knee Regular Fit Jeans",2066.00
"Regular Fit High-Rise Jeans",2060.90
"Redloop Men Tapered Fit Jeans",2054.00
"Men Fit High-Rise Jeans",2050.11
"Baggy Fit Mid-Rise Cotton Jean",2049.00
"Men Cotton Clean Look Jeans",2047.67
"Men 512 Tapered Fit Jeans",2046.53
"Light Fade Pure Cotton Jeans",2043.50
"Mid-Rise Skinny Fit Jeans",2042.76
"Plus Size  Jeans",2039.00
"Men Mid-Rise Narrow Leg Jeans",2034.00
"Men Slank Slim Fit Jeans",2029.00
"Men Glenn Slim Fit Jeans",2029.00
"Slim Fit Mid-Rise Cotton Jeans",2025.00
